Smiles,ID
C[C@H](CC1)[C@@](C2)(CC3)[C@@H]1C(C)(C)[C@@H]2[C@@]3(C)O,Amb1802581
CC(C)c1ccc(C=O)cc1,Amb2792759
CC(C)[C@@H](CC[C@@H](C)C1)[C@H]1O,Amb4605937
CC(CCC=C(C)C)CCO,Amb532963
COc(ccc(CC=C)c1)c1OC,Amb533450
CCCCCC(CC1)OC1=O,Amb569744
C[C@H](C1)[C@](C)(C[C@@H](CC2)C(C)=C)C2=CC1=O,Amb9826791
CC(C)c(ccc(C)c1)c1O,Amb3939631
CC(CCC=C(C)C)CCOC(C)=O,Amb4011988
CCCCCC(CC)=O,Amb8513554
CC(C)c1cc(OC(C)=O)c(C)cc1,Amb21929313
C[C@](CCC=C(C)C)([C@@H]1CC=C(C)CC1)O,Amb8496745
CC(C)([C@@H](CC1)C2)[C@@]1(C)C2=O,Amb9703087
CCC1=CC2=C(C)C=CC2=C(C)C=C1,Amb18511858
CC1(C)[C@H]2C(C)=CC[C@@H]1C2,Amb9703197
C[C@@H](CC1)[C@H]([C@H]2C(C)(C)[C@H]2CC2)[C@H]1C2=C,Amb560959
CC1(C)[C@H]2C=C(C)CC[C@H]12,Amb18511859
CC1(C)[C@@H]2[C@H]1CC=C(C)C2,Amb18511860
C[C@]1([C@H](CC[C@H]23)[C@H]3C(C)(C)CCC1)C2=C,Amb18511861
CC(C)=CCC(CO)C(C)=C,Amb18511862
CC(C)=CCC(COC(C)=O)C(C)=C,Amb18511863
CC(C)[C@](C1)(C2)[C@H]1[C@@H](C)C2=O,Amb10844718
COc1c2OCOc2cc(CC=C)c1OC,Amb1093249
CC(CCC=C(C)C)(C=C)O,Amb10843431
C[C@@H](CC1)[C@@]2(C3)[C@H]1C(C)(C)[C@H]3C(C)=CC2,Amb18511867
CC1(C)C2=CCCC(C)(C)[C@]22C[C@H]1CC2,Amb18511869
CC(C)c1cc(O)c(C)cc1,Amb3940095
CC(C)([C@@H](C1)CC2)[C@H]1C2=C,Amb2719710
CC(C)([C@@H](CC1)O[C@]1(C)C=C)O,Amb4014553
CC(C)[C@]1(CC2)O[C@]2(C)CC1,Amb6296282
CC(C)[C@H](CC[C@@H](C)C1)[C@H]1O,Amb4605936
